stage,added_core_entries,controlled_tokens,total_tokens,overall_coverage,anlagenbau,automotive,elektrotechnik,maschinenbau,medizintechnik,software_it,note
v0.3_baseline_legacy_tool,0,1062,2066,0.514037,0.491961,0.495822,0.488304,0.502809,0.520958,0.579670,legacy v0.3 tokenizer/index; shown for historical comparison
v0.4_normalization_only,0,1088,2066,0.526621,0.501608,0.520891,0.502924,0.508427,0.532934,0.587912,v0.3 lexicon with v0.4 collision-safe plural normalization and noun routing
add:DE-ADJ-sicher,1,1093,2066,0.529042,0.504823,0.523677,0.502924,0.511236,0.538922,0.587912,add sicher (5 observed token occurrences; 4 industries)
add:DE-DET-Ihr,2,1106,2066,0.535334,0.504823,0.543175,0.505848,0.511236,0.538922,0.601648,add Ihr (13 observed token occurrences; 3 industries)
add:DE-NOU-produkt,3,1119,2066,0.541626,0.511254,0.543175,0.514620,0.533708,0.538922,0.601648,add Produkt (13 observed token occurrences; 3 industries)
add:DE-NOU-angabe,4,1122,2066,0.543078,0.514469,0.543175,0.517544,0.536517,0.538922,0.601648,add Angabe (3 observed token occurrences; 3 industries)
add:DE-NOU-einstellung,5,1125,2066,0.544530,0.517685,0.543175,0.520468,0.536517,0.541916,0.601648,add Einstellung (3 observed token occurrences; 3 industries)
add:DE-ADJ-folgend,6,1128,2066,0.545983,0.520900,0.545961,0.520468,0.536517,0.541916,0.604396,add folgend (3 observed token occurrences; 3 industries)
add:DE-NOU-verletzung,7,1131,2066,0.547435,0.524116,0.548747,0.520468,0.539326,0.541916,0.604396,add Verletzung (3 observed token occurrences; 3 industries)
add:DE-NOU-verwendung,8,1134,2066,0.548887,0.527331,0.551532,0.520468,0.542135,0.541916,0.604396,add Verwendung (3 observed token occurrences; 3 industries)
add:DE-NOU-betriebsanleitung,9,1145,2066,0.554211,0.546624,0.565460,0.520468,0.542135,0.541916,0.604396,add Betriebsanleitung (11 observed token occurrences; 2 industries)
add:DE-NOU-kenntnis,10,1150,2066,0.556631,0.546624,0.565460,0.523392,0.553371,0.541916,0.604396,add Kenntnis (5 observed token occurrences; 2 industries)
add:DE-NOU-symbol,11,1154,2066,0.558567,0.556270,0.568245,0.523392,0.553371,0.541916,0.604396,add Symbol (4 observed token occurrences; 2 industries)
add:DE-VER-waehlen,12,1158,2066,0.560503,0.556270,0.568245,0.523392,0.553371,0.544910,0.612637,add wählen (4 observed token occurrences; 2 industries)
add:DE-NOU-fachpersonal,13,1162,2066,0.562439,0.556270,0.568245,0.529240,0.558989,0.544910,0.612637,add Fachpersonal (4 observed token occurrences; 2 industries)
add:DE-NOU-taetigkeit,14,1166,2066,0.564376,0.562701,0.568245,0.529240,0.564607,0.544910,0.612637,add Tätigkeit (4 observed token occurrences; 2 industries)
add:DE-NOU-beispiel,15,1169,2066,0.565828,0.562701,0.573816,0.529240,0.567416,0.544910,0.612637,add Beispiel (3 observed token occurrences; 2 industries)
add:DE-NOU-installation,16,1172,2066,0.567280,0.562701,0.573816,0.535088,0.567416,0.544910,0.615385,add Installation (3 observed token occurrences; 2 industries)
add:DE-VER-lesen,17,1175,2066,0.568732,0.569132,0.576602,0.535088,0.567416,0.544910,0.615385,add lesen (3 observed token occurrences; 2 industries)
add:DE-ADJ-technisch,18,1178,2066,0.570184,0.569132,0.576602,0.538012,0.573034,0.544910,0.615385,add technisch (3 observed token occurrences; 2 industries)
add:DE-VER-bedienen,19,1180,2066,0.571152,0.569132,0.576602,0.540936,0.573034,0.547904,0.615385,add bedienen (2 observed token occurrences; 2 industries)
add:DE-NOU-bedienung,20,1182,2066,0.572120,0.572347,0.579387,0.540936,0.573034,0.547904,0.615385,add Bedienung (2 observed token occurrences; 2 industries)
add:DE-VER-benoetigen,21,1184,2066,0.573088,0.572347,0.582173,0.543860,0.573034,0.547904,0.615385,add benötigen (2 observed token occurrences; 2 industries)
add:DE-NOU-kennzeichnung,22,1186,2066,0.574056,0.575563,0.582173,0.543860,0.575843,0.547904,0.615385,add Kennzeichnung (2 observed token occurrences; 2 industries)
add:DE-NOU-verfuegbarkeit,23,1188,2066,0.575024,0.575563,0.584958,0.546784,0.575843,0.547904,0.615385,add Verfügbarkeit (2 observed token occurrences; 2 industries)
add:DE-NOU-version,24,1190,2066,0.575992,0.575563,0.584958,0.546784,0.575843,0.550898,0.618132,add Version (2 observed token occurrences; 2 industries)
add:DE-ADJ-wichtig,25,1192,2066,0.576960,0.575563,0.587744,0.549708,0.575843,0.550898,0.618132,add wichtig (2 observed token occurrences; 2 industries)
add:DE-NOU-aenderung,26,1194,2066,0.577928,0.575563,0.587744,0.549708,0.575843,0.553892,0.620879,add Änderung (2 observed token occurrences; 2 industries)
add:DE-NOU-vorschrift,27,1196,2066,0.578896,0.575563,0.587744,0.549708,0.581461,0.553892,0.620879,add Vorschrift (2 observed token occurrences; 1 industries)
add:DE-NOU-anleitung,28,1198,2066,0.579864,0.581994,0.587744,0.549708,0.581461,0.553892,0.620879,add Anleitung (2 observed token occurrences; 1 industries)
add:DE-NOU-dokumentation,29,1199,2066,0.580348,0.581994,0.587744,0.549708,0.584270,0.553892,0.620879,add Dokumentation (1 observed token occurrences; 1 industries)
add:DE-NOU-warnung,30,1200,2066,0.580833,0.585209,0.587744,0.549708,0.584270,0.553892,0.620879,add Warnung (1 observed token occurrences; 1 industries)
