source_id,industry,manufacturer,tokens,v0.3_baseline_coverage,v0.4_normalization_coverage,v0.4_final_coverage,final_unknown,final_review_required,final_prohibited,final_lexical_noun_candidates
AUTO-AUDI-CONNECT,automotive,Audi,118,0.491525,0.500000,0.542373,15,1,4,30
AUTO-BMW-SAFETY,automotive,BMW,124,0.508065,0.556452,0.620968,7,4,1,31
AUTO-VW-DISTANCE,automotive,Volkswagen,117,0.487179,0.504274,0.598291,17,2,0,24
ELEC-PHOENIX-QUINT,elektrotechnik,Phoenix Contact,104,0.451923,0.451923,0.480769,17,4,1,28
ELEC-SCHNEIDER-ATV600,elektrotechnik,Schneider Electric,127,0.543307,0.566929,0.637795,16,3,2,24
ELEC-SIEMENS-S71200,elektrotechnik,Siemens,111,0.459459,0.477477,0.513514,11,3,1,28
MACH-FESTO-DGCI,maschinenbau,Festo,104,0.480769,0.490385,0.586538,12,5,1,21
MACH-REXROTH-MITEL2,maschinenbau,Bosch Rexroth,128,0.531250,0.539062,0.648438,13,3,3,23
MACH-SEW-BREMSE,maschinenbau,SEW-EURODRIVE,124,0.491935,0.491935,0.516129,16,3,1,35
MED-BBRAUN-INFUSOMAT,medizintechnik,B. Braun,120,0.591667,0.591667,0.600000,12,2,4,29
MED-DRAEGER-EVITA,medizintechnik,Dräger,104,0.490385,0.490385,0.509615,12,2,2,32
MED-HAMILTON-C1,medizintechnik,Hamilton Medical,110,0.472727,0.509091,0.545455,18,5,0,22
PLANT-GRUNDFOS-CRATEX,anlagenbau,Grundfos,103,0.514563,0.524272,0.592233,10,4,1,26
PLANT-KSB-ETANORM,anlagenbau,KSB,100,0.460000,0.470000,0.470000,13,0,1,35
PLANT-WILO-STRATOS,anlagenbau,Wilo,108,0.500000,0.509259,0.685185,9,2,2,20
SW-NEXTCLOUD-WEB,software_it,Nextcloud,127,0.574803,0.574803,0.614173,12,0,1,29
SW-SUSE-YAST,software_it,SUSE,116,0.577586,0.594828,0.637931,6,3,3,26
SW-SYNOLOGY-VOLUME,software_it,Synology,121,0.586777,0.595041,0.611570,16,3,1,26
